"sku_mp_id","branch_id","rank"
"403425","RALEIGH","4597"
"117118","RALEIGH","3289"
"224476","RALEIGH","61"
"2810","RALEIGH","4360"
"356905","RALEIGH","2613"
"760243","RALEIGH","3040"
"19615","RALEIGH","205"
"37572","RALEIGH","96"
"406822","RALEIGH","6"
"308357","RALEIGH","25"
"14987","RALEIGH","67"
"4065437","RALEIGH","112"
"261395","RALEIGH","50"
"3599485","RALEIGH","31"
"43626","RALEIGH","240"
"5931","RALEIGH","2"
"1349227","RALEIGH","8"
"47187","RALEIGH","46"
"459980","RALEIGH","14"
"356906","RALEIGH","31"
"4125291","RALEIGH","34"
"3579837","RALEIGH","4"
"1302336","RALEIGH","15"
"35013","RALEIGH","227"
"3152715","RALEIGH","45"
"528157","RALEIGH","11"
"49866","RALEIGH","37"
"39074","RALEIGH","84"
"2253055","RALEIGH","10"
"4291389","RALEIGH","6"
"1424008","RALEIGH","2"
"3565307","RALEIGH","16"
"1802734","RALEIGH","9"
"4223","RALEIGH","1"
"5849","RALEIGH","8"
"49061","RALEIGH","51"
"552875","RALEIGH","3"
"1783121","RALEIGH","21"
"2188122","RALEIGH","9"
"1507900","RALEIGH","16"
"3951148","RALEIGH","7"
"9489","RALEIGH","16"
"4086064","RALEIGH","6"
"405908","RALEIGH","1236"
"3408342","RALEIGH","83"
"1772279","RALEIGH","4"
"4560","RALEIGH","131"
"3266593","RALEIGH","5"
"757","RALEIGH","1"
"33736","RALEIGH","3"
"22505","RALEIGH","101"
"4161258","RALEIGH","6"
"105278","RALEIGH","4"
"3010458","RALEIGH","7"
"1349181","RALEIGH","5"
"45283","RALEIGH","67"
"3041414","RALEIGH","1"
"19872","RALEIGH","24"
"1716830","RALEIGH","5"
"13566","RALEIGH","5"
"10072","RALEIGH","31"
"4103054","RALEIGH","19"
"36757","RALEIGH","5"
"3076743","RALEIGH","4"
"2937928","RALEIGH","2"
"4080789","RALEIGH","11"
"4779","RALEIGH","44"
"3753257","RALEIGH","6"
"760323","RALEIGH","19"
"3599687","RALEIGH","51"
"4129860","RALEIGH","7"
"2961","RALEIGH","3"
"19009","RALEIGH","7"
"502156","RALEIGH","30"
"27652","RALEIGH","28"
"1115189","RALEIGH","9"
"4081950","RALEIGH","2"
"85701","RALEIGH","13"
"3800018","RALEIGH","2"
"308226","RALEIGH","18"
"1918656","RALEIGH","1"
"4275004","RALEIGH","1"
"30523","RALEIGH","32"
"75408","RALEIGH","8"
"460055","RALEIGH","6"
"2038144","RALEIGH","6"
"49244","RALEIGH","19"
"419827","RALEIGH","93"
"43347","RALEIGH","29"
"49036","RALEIGH","4"
"4146349","RALEIGH","11"
"43959","RALEIGH","31"
"407707","RALEIGH","13"
"1375944","RALEIGH","3"
"3708997","RALEIGH","2"
"1596362","RALEIGH","15"
"278356","RALEIGH","17"
"31956","RALEIGH","5"
"39199","RALEIGH","36"
"3266603","RALEIGH","2"
"3924036","RALEIGH","36"
"266037","RALEIGH","2"
"46033","RALEIGH","13"
"802354","RALEIGH","2"
"33620","RALEIGH","3"
"45692","RALEIGH","40"
"100878","RALEIGH","42"
"247733","RALEIGH","20"
"44786","RALEIGH","19"
"266076","RALEIGH","12"
"43781","RALEIGH","5"
"1595050","RALEIGH","1"
"2476","RALEIGH","16"
"3670023","RALEIGH","4"
"1000","SEATTLE","6"
"4159691","RALEIGH","2"
"45540","RALEIGH","37"
"3971904","RALEIGH","32"
"3531900","RALEIGH","6"
"31793","RALEIGH","2"
"2881972","RALEIGH","19"
"4227600","RALEIGH","2"
"45761","RALEIGH","19"
"2465256","RALEIGH","6"
"282","RALEIGH","6"
"272656","RALEIGH","7"
"4275265","RALEIGH","1"
"4291385","RALEIGH","13"
"9892","RALEIGH","46"
"1227524","RALEIGH","37"
"2880189","RALEIGH","6"
"2147561","RALEIGH","7"
"318421","RALEIGH","7"
"3788","RALEIGH","14"
"2491954","RALEIGH","9"
"489527","RALEIGH","5"
"1720642","RALEIGH","27"
"3627202","RALEIGH","22"
"2938472","RALEIGH","3"
"1867799","RALEIGH","14"
"3052707","RALEIGH","71"
"2480","RALEIGH","82"
"1569542","RALEIGH","9"
"3625793","RALEIGH","6"
"4733","RALEIGH","7"
"1601887","RALEIGH","20"
"261562","RALEIGH","6"
"23193","RALEIGH","11"
"86754","RALEIGH","3"
"3799917","RALEIGH","2"
"2374339","RALEIGH","1"
"42630","RALEIGH","10"
"487881","RALEIGH","8"
"422602","RALEIGH","27"
"2396540","RALEIGH","4"
"2235005","RALEIGH","37"
"51713","RALEIGH","17"
"4146930","RALEIGH","1"
"2130865","RALEIGH","6"
"16309","RALEIGH","15"
"26970","RALEIGH","5"
"1795320","RALEIGH","1"
"4221525","RALEIGH","12"
"1875698","RALEIGH","4"
"1397215","RALEIGH","3"
"543273","RALEIGH","7"
"2471374","RALEIGH","1"
"33820","RALEIGH","8"
"4055949","RALEIGH","3"
"1349177","RALEIGH","3"
"3862268","RALEIGH","33"
"760328","RALEIGH","25"
"670367","RALEIGH","3"
"33996","RALEIGH","31"
"53879","RALEIGH","5"
"395210","RALEIGH","9"
"1611178","RALEIGH","2"
"308151","RALEIGH","13"
"48968","RALEIGH","2"
"1399399","RALEIGH","4"
"3642518","RALEIGH","8"
"3383084","RALEIGH","13"
"48593","RALEIGH","14"
"441164","RALEIGH","3"
"1226890","RALEIGH","6"
"50535","RALEIGH","32"
"47669","RALEIGH","9"
"1754083","RALEIGH","1"
"1661397","RALEIGH","5"
"3628931","RALEIGH","5"
"219622","RALEIGH","1"
"2379992","RALEIGH","8"
"26184","RALEIGH","9"
"1612271","RALEIGH","2"
"3696","RALEIGH","2"
"28081","RALEIGH","16"
"62292","RALEIGH","17"
"2450957","RALEIGH","29"
"3411857","RALEIGH","2"
"3173068","RALEIGH","12"
"1611911","RALEIGH","3"
"135180","RALEIGH","2"
"31210","RALEIGH","18"
"318467","RALEIGH","8"
"85648","RALEIGH","1"
"40265","RALEIGH","11"
"7073","RALEIGH","8"
"353004","RALEIGH","23"
"16525","RALEIGH","4"
"431611","RALEIGH","3"
"47631","RALEIGH","11"
"4038864","RALEIGH","2"
"4203179","RALEIGH","6"
"22225","RALEIGH","12"
"2026107","RALEIGH","7"
"543300","RALEIGH","1"
"2174756","RALEIGH","15"
"688546","SEATTLE","960"
"525334","SEATTLE","5"
"36177","SEATTLE","14"
"406499","SEATTLE","1"
"2972513","SEATTLE","1"
"4277","SEATTLE","49"
"10371","SEATTLE","1"
"1446083","SEATTLE","1"
"459982","SEATTLE","1"
"1797012","RALEIGH","16"
"2927015","RALEIGH","9"
"37499","RALEIGH","11"
"2464831","RALEIGH","4"
"2379980","RALEIGH","2"
"1667","RALEIGH","13"
"4136921","RALEIGH","4"
"1569739","RALEIGH","14"
"44076","RALEIGH","4"
"4085982","RALEIGH","1"
"28202","RALEIGH","1"
"88437","RALEIGH","1"
"3318751","RALEIGH","2"
"2175057","RALEIGH","6"
"225223","RALEIGH","3"
"3549233","RALEIGH","2"
"2937985","RALEIGH","2"
"260973","RALEIGH","2"
"4027942","RALEIGH","8"
"1894428","RALEIGH","39"
"1619827","RALEIGH","19"
"247757","RALEIGH","1"
"53899","RALEIGH","7"
"1628892","RALEIGH","1"
"405876","RALEIGH","1"
"1279478","RALEIGH","6"
"29131","RALEIGH","8"
"143483","RALEIGH","5"
"2834113","RALEIGH","6"
"13631","RALEIGH","23"
"3010464","RALEIGH","9"
"3660206","RALEIGH","2"
"420102","RALEIGH","6"
"2379995","RALEIGH","2"
"343949","RALEIGH","26"
"30752","RALEIGH","5"
"2639548","RALEIGH","1"
"46897","RALEIGH","2"
"160849","RALEIGH","19"
