Products,Revenue
4063888,442964
2017837,397342
2846446,368848
3159417,317336
3159556,282330
2846247,276173
1353677,249317
3978169,243589
3159402,243228
343944,238528
2846454,227405
2178712,216807
4092423,167597
4381487,156376
1284048,152260
2846443,133169
2846429,124128
141691,120676
3159486,118006
191076,117611
3159528,108409
3862193,104395
2465328,100957
2465296,100253
141690,98457
1061444,96503
2846329,96464
3863495,96355
3798937,95714
343949,92561
3159420,89749
3159432,87997
4092434,87491
3159338,84881
2846421,83529
2167236,79802
3631559,77950
1638961,77891
3159389,77835
2846257,77642
3815650,76867
2846420,76514
3569589,74882
2846469,73912
343943,69845
4140430,67149
4086149,67071
3159350,66456
3862262,66214
3863547,65421
4381419,65401
4158599,63944
2846369,63085
675287,62513
4472248,61637
4115010,61419
3631560,61182
3863500,59930
498143,59734
467745,59112
3800302,58741
3159297,58368
4472319,58115
2465242,58070
3159522,57925
41222,57253
1789378,57168
4393916,56708
2465313,56056
4038359,55407
3869589,54769
343947,53197
2846416,53056
4472340,52871
3624365,52568
2846485,51646
4273142,51543
3865351,51141
2405309,51068
2240795,50745
4092394,50583
2031546,49898
4336379,49189
2167232,49053
3863546,48538
4636648,48482
1852547,48281
4381483,46893
1638926,46622
4038364,46448
3159500,46282
3978174,45851
3159558,45849
4065412,45525
4472203,45108
2167221,45104
2465289,44175
3780415,44125
676186,43700
689998,42789
3795479,42537
1353735,42231
4472135,42224
4336086,41314
4199329,41166
2017842,40447
3862268,40275
4321118,39795
3863370,39703
4336898,39579
2846383,39485
1758190,38139
2846343,37695
4336381,37022
2193692,36562
3877132,36327
3786197,35995
3698193,35851
1754428,35792
1894413,35750
4115061,35731
4381484,35595
3527637,35543
343937,35485
3635244,35298
2465190,35256
3780403,34869
3815930,34665
3780378,34631
4038332,34436
3698671,34266
3569868,34187
3908913,34005
3795489,33950
1789524,33691
4319208,33633
4483006,33605
3863513,33328
455520,33186
498136,32894
3863380,32661
3869576,32272
437610,32193
3863561,31294
1852606,31052
538199,30974
4636917,30815
3863300,30757
455519,30677
3159472,30630
4336964,30346
4038367,30197
4472249,29799
81882,29663
24299,29576
4336382,29348
2153682,29278
3797430,29259
4146461,29208
3863393,28866
2405300,28765
3715225,28664
3863507,28075
4038360,27987
4294467,27799
525328,27778
3863419,27670
313908,27653
3797252,27509
3159361,27418
4038344,27252
4472258,26816
38020,26807
4381471,26574
3628783,26569
4038450,26556
2111887,26518
2395553,26508
3863369,26484
667628,26327
4472301,26185
3698781,26166
4063908,26013
4319211,26006
3908829,25887
3795514,25790
3891308,25371
4319231,25287
2395540,25220
3869439,25033
4274074,25019
1754424,24876
4196062,24741
3795477,24720
3827221,24612
419827,24540
3828833,24470
4428354,24459
4472174,24421
4146890,24419
4117832,24336
3522746,24325
3795504,24099
3877490,24098
311541,24037
528141,23963
4114964,23896
3863397,23821
4425434,23481
2167230,23436
3863442,23397
4038377,23292
4319287,23180
1578211,23120
3780488,22739
2465209,22647
3795497,22607
3910534,22475
353431,22424
3315008,22420
3635247,22373
4053168,22277
3801787,22111
49540,21864
4125370,21832
3916476,21667
3869289,21601
2880094,21568
47964,21550
3687179,21522
2192726,21482
2846382,21461
4003687,21355
2111751,21317
3811324,21034
2972557,20972
1758140,20946
1627527,20939
3795472,20886
4428415,20717
3800287,20657
4393920,20623
3695621,20613
4336388,20597
2350801,20579
239602,20571
2972558,20507
3527733,20463
4038351,20405
4038353,20368
4459020,20277
3772301,20268
3795468,19963
4321332,19943
1637844,19942
4092432,19892
4393931,19882
29911,19840
4035075,19833
3920841,19677
4336995,19646
3815940,19402
3795469,19365
3866354,19345
1627809,19210
3527781,19204
3863480,19189
2923896,19138
4473053,19126
3567409,19125
2923886,19091
4319284,19060
3780442,18970
3919677,18862
2924089,18768
2229366,18732
3908907,18586
3968805,18530
1698690,18524
467746,18420
4393927,18236
4473046,18074
343940,18045
1852618,18021
3527690,17974
3147244,17962
688254,17856
4472216,17762
423441,17747
4273434,17726
4038369,17704
4428426,17677
3157758,17650
1808193,17474
3863309,17470
3986278,17416
2167239,17356
2111892,17341
3863527,17323
3800232,17282
3159470,17235
254734,17219
3869355,17217
419828,17212
2167234,17169
2465269,17113
2395537,17105
2889501,17042
48839,16980
3795502,16948
3878506,16918
4472224,16843
3527743,16823
3157986,16767
3800250,16743
4319273,16721
3335351,16717
1619827,16645
4472243,16553
3800180,16541
3864706,16538
4034949,16525
1638912,16520
4077356,16471
3813968,16435
3579656,16426
2192725,16330
729220,16321
1607402,16321
3255554,16311
423442,16289
4038355,16276
498139,16274
3585834,16272
3294197,16247
3795475,16207
1895120,16206
2923911,16185
1619040,16122
2254787,15993
3911061,15852
3916692,15831
1353866,15782
436266,15722
3865977,15694
3863531,15691
2846275,15582
4482757,15566
5996,15490
1638938,15466
3828883,15458
254736,15432
570624,15427
4117537,15419
3867267,15418
1285660,15397
4196642,15327
4428246,15239
3877134,15219
3877123,15200
4479195,15200
4393939,15170
2965160,15162
4273329,15112
1894406,15067
3527744,15064
303820,15035
3920150,15021
4473052,14938
3908899,14881
3986472,14804
1396215,14774
4336713,14720
2375703,14614
3824663,14558
4319264,14504
4319247,14456
3527689,14450
4472193,14351
3549230,14328
3159505,14323
4158578,14224
525334,14198
3317568,14168
3624372,14159
4321213,14131
4381742,14130
4243407,14117
3986474,14045
32323,13989
3863295,13946
3815875,13890
171373,13882
1607380,13858
3877481,13730
2485855,13722
3599461,13661
1852558,13630
3159463,13627
3527674,13621
1852612,13604
3869516,13546
3986280,13543
3294186,13477
2923539,13477
4053105,13436
498127,13433
184968,13356
3795516,13345
3549229,13337
4576811,13303
3715306,13277
4393339,13212
4381416,13110
2405310,13092
3312582,13090
1424005,13051
294364,13042
487068,13033
3986456,13004
3795462,12949
3157988,12922
4428131,12907
3815840,12899
4243310,12885
4336395,12842
4381683,12803
1894588,12793
457101,12785
3549233,12746
3795498,12737
407327,12729
260987,12689
3908868,12640
4381527,12614
4254347,12577
3801836,12571
3777005,12571
1852567,12538
4336577,12471
1353534,12433
3526259,12379
4332773,12353
1867327,12316
4381753,12302
3527769,12300
3527723,12264
657815,12221
4080799,12214
2939929,12212
3408616,12193
4195881,12023
4161758,12019
4055500,11999
1619039,11959
4243491,11950
3863550,11949
3255552,11929
4473043,11917
4243376,11908
3527678,11884
30866,11878
528142,11869
4080815,11843
1639734,11804
3698622,11774
38371,11772
3628931,11764
4336990,11738
3800173,11738
1359965,11711
3157973,11700
2111922,11677
498131,11637
4038335,11609
3908802,11603
2924111,11591
3642521,11586
4633634,11581
1852630,11566
525329,11458
4428372,11399
1788975,11397
284531,11386
2846271,11381
2235005,11373
2465254,11372
4336074,11351
4387102,11331
1894589,11329
3799954,11326
1852750,11307
43552,11268
3795459,11226
4417425,11221
2169646,11165
3828801,11133
446740,11071
1894587,11021
696980,10999
3867263,10959
2350739,10936
3979803,10893
446291,10857
7122,10841
2846361,10840
2465325,10837
1754422,10822
3916635,10784
4321368,10707
1607393,10626
3876375,10601
3159481,10598
2334019,10579
4473050,10561
681387,10483
4080771,10440
2031549,10438
1852643,10419
4196643,10419
1627717,10360
254735,10359
3527727,10353
3863564,10328
289790,10275
3811341,10270
1789063,10264
4038454,10263
4243477,10257
343933,10249
3924662,10237
4273143,10237
187731,10205
423440,10198
4336985,10164
3986282,10163
4038381,10128
4381592,10114
4084703,10110
1792772,10098
3865975,10052
4393959,10048
3878691,10036
463315,10014
303821,10007
3549234,10006
4100063,9985
3599531,9882
4158546,9870
1852548,9838
55704,9827
1284074,9800
3408474,9793
3624367,9718
3862474,9705
3772303,9679
3799995,9677
683294,9676
4336386,9646
897,9639
165919,9607
49233,9592
3795492,9585
4086174,9574
3877126,9555
4334973,9548
1308528,9527
4319194,9517
4381665,9451
3867266,9371
3880182,9362
2965123,9362
4228984,9349
3891314,9333
3975436,9330
2465309,9323
143512,9277
1308520,9273
1692316,9242
1061255,9238
3549231,9210
3698765,9203
3979767,9192
1897377,9183
343928,9174
3866353,9169
4336387,9166
3254296,9146
12629,9145
33215,9140
4381765,9139
32750,9116
50194,9108
2354782,9076
3865969,9022
47108,9021
1826390,9016
1619038,8994
2150763,8925
3795506,8922
4472948,8919
4319276,8892
4203723,8877
2374338,8874
3910535,8873
3815970,8867
2348119,8859
3865960,8857
4243512,8852
1619818,8845
4319235,8845
2924193,8844
3408461,8820
47099,8797
1396282,8784
3637798,8781
3924078,8763
4472257,8755
3799958,8753
1619834,8744
3255545,8744
4085936,8743
3863363,8692
4468314,8670
3865963,8662
3797448,8639
3527703,8635
2178582,8618
2937929,8614
3863374,8613
3799977,8612
3975416,8607
3800041,8601
2403111,8569
3919800,8519
3159345,8517
4576964,8513
2350772,8500
4080781,8483
4200833,8466
1284015,8457
3869512,8454
4381710,8419
4479190,8418
3869502,8405
3075544,8349
4083891,8345
3709204,8333
48980,8321
1230626,8313
111403,8303
136575,8278
4378312,8262
3863291,8251
1852526,8240
4381659,8236
3159504,8230
4319285,8227
3877588,8204
2111723,8200
3878582,8199
2435396,8195
4243561,8169
1788088,8156
4243623,8148
1836384,8146
3815894,8145
4035078,8122
